candidate_id,rank,score,reasoning
CAND_0052328,1,79.3445,"6.5 years experience as a Recommendation Systems Engineer, specializing in LoRA, QLoRA, Fine-tuning LLMs. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Observe.AI, Amazon."
CAND_0007009,2,79.0693,"Demonstrated track record of 7.9 years in backend and systems engineering, with focus on LoRA, Embeddings, QLoRA. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like PolicyBazaar, Wysa."
CAND_0041669,3,78.918,"Strong Recommendation Systems Engineer with 8.0 years of experience with hands-on experience in FAISS, Semantic Search, Milvus. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Mad Street Den, CRED."
CAND_0018499,4,78.3372,"Strong Senior Machine Learning Engineer with 7.2 years of experience with hands-on experience in Embeddings, Milvus, QLoRA. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Flipkart, Google."
CAND_0065195,5,78.2783,"Demonstrated track record of 5.1 years in backend and systems engineering, with focus on QLoRA, Elasticsearch, pgvector. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like CRED, Google."
CAND_0051004,6,78.1974,"4.7 years experience as a Senior Data Scientist, specializing in LoRA, Embeddings, Semantic Search. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like CRED, Niramai."
CAND_0075249,7,78.1808,"Demonstrated track record of 6.2 years in backend and systems engineering, with focus on Fine-tuning LLMs, Pinecone, Milvus. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like upGrad, Zomato."
CAND_0037566,8,77.9928,"Demonstrated track record of 6.9 years in backend and systems engineering, with focus on QLoRA, LoRA, Pinecone. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Paytm, LinkedIn."
CAND_0041610,9,77.9642,"Demonstrated track record of 6.7 years in backend and systems engineering, with focus on LoRA, Embeddings, Elasticsearch. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Observe.AI, Zoho."
CAND_0061265,10,77.6383,"Demonstrated track record of 6.6 years in backend and systems engineering, with focus on Embeddings, Milvus, QLoRA. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Observe.AI, Zoho. However, there is a minor concern on 120-day notice period."
CAND_0077337,11,77.4289,"Strong Staff Machine Learning Engineer with 7.0 years of experience with hands-on experience in Semantic Search, QLoRA, Python. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Glance, Razorpay."
CAND_0018549,12,77.4045,"Strong Recommendation Systems Engineer with 6.8 years of experience with hands-on experience in Elasticsearch, Milvus, Fine-tuning LLMs. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Uber, Flipkart."
CAND_0064326,13,77.38,"Demonstrated track record of 7.6 years in backend and systems engineering, with focus on Semantic Search, Milvus, QLoRA. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Apple, Sarvam AI."
CAND_0069905,14,77.3552,"Demonstrated track record of 6.6 years in backend and systems engineering, with focus on LoRA, Python, Weaviate. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Observe.AI, Sarvam AI. However, there is a minor concern on 90-day notice period."
CAND_0000031,15,77.2266,"Demonstrated track record of 6.0 years in backend and systems engineering, with focus on Embeddings, Pinecone, Information Retrieval. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Uber, Mad Street Den."
